"","age","gender","lg","id","vowel","step","target","response","RT"
"1586",25,"Male","Mandarin","25Mandarin","[i]",6,0,1,939.5
"1589",25,"Male","Mandarin","25Mandarin","[ʉ]",1,0,0,547.1
"1591",25,"Male","Mandarin","25Mandarin","[i]",8,0,1,458.8
"1595",25,"Male","Mandarin","25Mandarin","[i]",2,0,1,313.1
"1598",25,"Male","Mandarin","25Mandarin","[i]",4,0,1,344.3
"1599",25,"Male","Mandarin","25Mandarin","[y]",5,0,1,314.8
"1604",25,"Male","Mandarin","25Mandarin","[ʉ]",3,0,1,392.1
"1606",25,"Male","Mandarin","25Mandarin","[i]",0,0,0,410.2
"1613",25,"Male","Mandarin","25Mandarin","[y]",4,0,1,610.8
"1614",25,"Male","Mandarin","25Mandarin","[ʉ]",0,0,0,397.6
"1621",25,"Male","Mandarin","25Mandarin","[u]",0,0,0,654.3
"1622",25,"Male","Mandarin","25Mandarin","[ʉ]",8,0,1,713
"1627",25,"Male","Mandarin","25Mandarin","[u]",0,0,0,477.2
"1636",25,"Male","Mandarin","25Mandarin","[i]",3,0,0,676.3
"1645",25,"Male","Mandarin","25Mandarin","[y]",2,0,1,434.8
"1646",25,"Male","Mandarin","25Mandarin","[y]",6,0,1,546.1
"1649",25,"Male","Mandarin","25Mandarin","[ʉ]",7,0,1,642.9
"1650",25,"Male","Mandarin","25Mandarin","[i]",7,0,1,549.3
"1654",25,"Male","Mandarin","25Mandarin","[i]",1,0,0,240.8
"1678",25,"Male","Mandarin","25Mandarin","[ʉ]",0,0,0,356.9
"1688",25,"Male","Mandarin","25Mandarin","[ʉ]",6,0,1,515.7
"1690",25,"Male","Mandarin","25Mandarin","[i]",0,0,0,287.5
"1697",25,"Male","Mandarin","25Mandarin","[ʉ]",2,0,0,163.7
"1699",25,"Male","Mandarin","25Mandarin","[y]",0,0,0,834.1
"1700",25,"Male","Mandarin","25Mandarin","[y]",3,0,1,480
"1703",25,"Male","Mandarin","25Mandarin","[ʉ]",4,0,1,415.2
"1709",25,"Male","Mandarin","25Mandarin","[y]",0,0,0,313.8
"1713",25,"Male","Mandarin","25Mandarin","[i]",5,0,1,935.5
"1725",25,"Male","Mandarin","25Mandarin","[ʉ]",5,0,1,261.1
"1727",25,"Male","Mandarin","25Mandarin","[y]",1,0,0,480.2
"1730",25,"Male","Mandarin","31Mandarin","[y]",0,0,0,822.1
"1731",25,"Male","Mandarin","31Mandarin","[i]",1,0,1,303.2
"1733",25,"Male","Mandarin","31Mandarin","[i]",3,0,1,356.2
"1740",25,"Male","Mandarin","31Mandarin","[ʉ]",7,0,1,422.7
"1742",25,"Male","Mandarin","31Mandarin","[y]",4,0,1,545.6
"1746",25,"Male","Mandarin","31Mandarin","[i]",4,0,1,350.4
"1747",25,"Male","Mandarin","31Mandarin","[ʉ]",3,0,1,202.1
"1749",25,"Male","Mandarin","31Mandarin","[ʉ]",2,0,1,225.8
"1751",25,"Male","Mandarin","31Mandarin","[i]",6,0,1,358.7
